% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 31.78    2.727667          27     99316           poll
 20.67    1.773825          30     58993      4517 futex
 19.68    1.689452          15    108330     92892 recvmsg
 10.44    0.896077          25     35056           read
  7.61    0.652912          18     35056           write
  2.83    0.243042          19     12645           writev
  2.23    0.191038          20      9152           mprotect
  1.17    0.100227          14      6786         1 madvise
  0.52    0.044869          13      3283       531 stat
  0.45    0.038589          24      1557           gettid
  0.33    0.028610          21      1308       369 access
  0.29    0.024655          19      1242           mmap
  0.28    0.023666          16      1432           close
  0.25    0.021566          31       690           dup
  0.25    0.021284          21       986       234 openat
  0.25    0.021268        4253         5           wait4
  0.16    0.013446         105       127           clone
  0.14    0.011748          14       797           getpid
  0.12    0.010617          16       659           fcntl
  0.09    0.007676          16       479           fstat
  0.07    0.005753          16       341        41 lstat
  0.05    0.004378          19       219        96 readlink
  0.04    0.003427          19       179           munmap
  0.03    0.002680          19       137           fallocate
  0.03    0.002504          13       182           getrandom
  0.03    0.002404          16       146           fstatfs
  0.03    0.002239          28        79           socketpair
  0.02    0.001758          12       137           memfd_create
  0.02    0.001697          28        60           getdents64
  0.02    0.001604          14       109           lseek
  0.02    0.001392           9       142           getrusage
  0.01    0.001187          17        68           getuid
  0.01    0.001049          17        60           getsockopt
  0.01    0.001010         126         8           shmdt
  0.01    0.000971          17        56           fadvise64
  0.01    0.000584          20        29           geteuid
  0.01    0.000524          23        22           getgid
  0.01    0.000509           9        55           pread64
  0.01    0.000473          20        23           getegid
  0.00    0.000399           8        46           rt_sigaction
  0.00    0.000333          12        26        22 mkdir
  0.00    0.000298         149         2           pwrite64
  0.00    0.000262          32         8           inotify_add_watch
  0.00    0.000237          18        13         2 recvfrom
  0.00    0.000236          29         8         2 statfs
  0.00    0.000229          20        11         5 connect
  0.00    0.000225          32         7           eventfd2
  0.00    0.000220           9        23           uname
  0.00    0.000183          16        11           socket
  0.00    0.000146          16         9         1 sendto
  0.00    0.000142          23         6           sysinfo
  0.00    0.000141          17         8           shutdown
  0.00    0.000095          47         2           fsync
  0.00    0.000094          11         8           unlink
  0.00    0.000092          23         4           chmod
  0.00    0.000073          36         2           sigaltstack
  0.00    0.000071          17         4           rename
  0.00    0.000064          64         1           ftruncate
  0.00    0.000061          20         3           rt_sigreturn
  0.00    0.000061          15         4           rmdir
  0.00    0.000054           4        13           readahead
  0.00    0.000049          12         4           umask
  0.00    0.000046           6         7           prlimit64
  0.00    0.000045          15         3           rt_sigprocmask
  0.00    0.000042           8         5           getpriority
  0.00    0.000040          13         3           sendmsg
  0.00    0.000040           8         5           pipe2
  0.00    0.000038           7         5           setpriority
  0.00    0.000036          18         2           getpeername
  0.00    0.000034          11         3           getsockname
  0.00    0.000034          34         1           inotify_init1
  0.00    0.000032           8         4           sched_getaffinity
  0.00    0.000031           6         5           pipe
  0.00    0.000025          12         2           setsockopt
  0.00    0.000024          12         2           getresgid
  0.00    0.000023          23         1           sched_setattr
  0.00    0.000023          23         1           sched_getattr
  0.00    0.000022          11         2           getresuid
  0.00    0.000020          10         2         2 quotactl
  0.00    0.000019           6         3           getcwd
  0.00    0.000014          14         1           kill
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         1           ioctl
  0.00    0.000000           0         2           execve
  0.00    0.000000           0         3         1 symlink
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         1         1 prctl
  0.00    0.000000           0         4         2 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           faccessat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1         1 seccomp
------ ----------- ----------- --------- --------- ----------------
100.00    8.582730                380251     98720 total
