% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.19    0.227468       17497        13           futex
  0.24    0.000553           6        91           mmap
  0.14    0.000323          10        31           mprotect
  0.12    0.000271           6        41        14 openat
  0.05    0.000119           2        50         1 close
  0.05    0.000119           4        25           fstat
  0.04    0.000098           3        26           lstat
  0.04    0.000095           2        37           read
  0.03    0.000062          20         3           munmap
  0.02    0.000039          13         3         3 connect
  0.01    0.000031           2        11           rt_sigaction
  0.01    0.000031          10         3           socket
  0.01    0.000028           1        15           pread64
  0.01    0.000027           4         6         3 access
  0.01    0.000019           3         6           brk
  0.00    0.000008           8         1           rt_sigprocmask
  0.00    0.000008           8         1           prlimit64
  0.00    0.000007           1         4           getuid
  0.00    0.000007           7         1           set_tid_address
  0.00    0.000007           7         1           set_robust_list
  0.00    0.000005           1         4         2 arch_prctl
  0.00    0.000000           0        19        12 stat
  0.00    0.000000           0         1           lseek
  0.00    0.000000           0         9         1 rt_sigreturn
  0.00    0.000000           0         9           pipe
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0        11           clone
  0.00    0.000000           0         2           execve
  0.00    0.000000           0        10         1 wait4
  0.00    0.000000           0         3           fcntl
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         3           chdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         1           readlink
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         2           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
------ ----------- ----------- --------- --------- ----------------
100.00    0.229325                   449        38 total
