% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 64.12   22.571163          22   1000196           epoll_ctl
 19.39    6.824573          34    200509           write
 15.51    5.460723          27    200015           read
  0.92    0.323542          40      8009           epoll_wait
  0.02    0.006448          64       100       100 connect
  0.01    0.004554          22       200           fcntl
  0.01    0.003669          31       116           close
  0.01    0.003044          30       100           socket
  0.01    0.002553          25       100           setsockopt
  0.00    0.001246          19        65           mmap
  0.00    0.000589          26        22           mprotect
  0.00    0.000294          21        14           openat
  0.00    0.000275          34         8           pread64
  0.00    0.000209          13        15           fstat
  0.00    0.000132          26         5           munmap
  0.00    0.000094          23         4           rt_sigaction
  0.00    0.000060          30         2           open
  0.00    0.000036          18         2         1 arch_prctl
  0.00    0.000027          27         1           madvise
  0.00    0.000027          27         1         1 readlink
  0.00    0.000023          23         1           epoll_create
  0.00    0.000022          22         1           sched_getaffinity
  0.00    0.000022          22         1           prlimit64
  0.00    0.000021          10         2           brk
  0.00    0.000021          21         1           set_tid_address
  0.00    0.000021          21         1           set_robust_list
  0.00    0.000019          19         1           rt_sigprocmask
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00   35.203407               1409494       103 total
