,%time,seconds,usecs/call,calls,errors,syscall
0,19.27,0.012226,27,444,0,mmap
1,15.36,0.009742,28,338,2,futex
2,10.37,0.006577,24,267,0,poll
3,8.94,0.005670,24,230,71,openat
4,6.21,0.003941,30,131,0,writev
5,5.60,0.003550,25,138,0,mprotect
6,5.51,0.003494,15,222,0,read
7,5.29,0.003354,24,138,9,recvmsg
8,4.78,0.003030,17,172,0,close
9,4.05,0.002567,18,141,0,fstat
10,2.97,0.001886,16,116,98,access
11,2.45,0.001555,23,65,44,stat
12,1.13,0.000717,358,2,0,execve
13,0.90,0.000574,20,28,0,write
14,0.70,0.000445,74,6,0,clone
15,0.63,0.000400,28,14,0,pread64
16,0.53,0.000335,18,18,0,munmap
17,0.45,0.000286,7,40,0,rt_sigaction
18,0.40,0.000255,19,13,0,readahead
19,0.30,0.000192,24,8,1,recvfrom
20,0.28,0.000177,9,18,0,gettid
21,0.27,0.000171,24,7,0,getpid
22,0.25,0.000157,26,6,0,eventfd2
23,0.20,0.000128,42,3,0,rt_sigprocmask
24,0.20,0.000126,7,16,0,fcntl
25,0.19,0.000118,13,9,5,connect
26,0.19,0.000118,13,9,0,uname
27,0.18,0.000116,12,9,0,socket
28,0.18,0.000113,28,4,0,sendto
29,0.17,0.000111,27,4,0,brk
30,0.17,0.000108,21,5,0,geteuid
31,0.17,0.000107,26,4,2,arch_prctl
32,0.16,0.000102,51,2,0,wait4
33,0.11,0.000071,17,4,2,lstat
34,0.11,0.000070,35,2,0,unlink
35,0.11,0.000070,17,4,0,readlink
36,0.11,0.000069,11,6,0,lseek
37,0.11,0.000067,22,3,0,getegid
38,0.08,0.000052,26,2,0,getrandom
39,0.08,0.000051,25,2,0,getdents64
40,0.07,0.000042,42,1,0,rt_sigreturn
41,0.06,0.000039,39,1,0,rmdir
42,0.06,0.000037,37,1,0,getgid
43,0.06,0.000035,35,1,0,getppid
44,0.06,0.000035,35,1,0,faccessat
45,0.05,0.000034,17,2,0,pipe
46,0.05,0.000030,30,1,0,sendmsg
47,0.04,0.000028,28,1,0,getcwd
48,0.04,0.000024,12,2,0,getsockname
49,0.04,0.000024,12,2,0,getpeername
50,0.04,0.000023,7,3,0,prlimit64
51,0.03,0.000022,22,1,0,set_tid_address
52,0.03,0.000022,22,1,0,set_robust_list
53,0.03,0.000021,21,1,0,sched_setattr
54,0.03,0.000021,21,1,0,sched_getattr
55,0.03,0.000020,20,1,0,shutdown
56,0.03,0.000020,10,2,0,getresuid
57,0.03,0.000020,10,2,0,getresgid
58,0.03,0.000016,8,2,0,getuid
59,0.02,0.000015,2,7,6,mkdir
60,0.01,0.000005,5,1,1,prctl
61,0.00,0.000002,2,1,1,seccomp
62,0.00,0.000000,0,23,0,madvise
63,0.00,0.000000,0,1,0,getsockopt
64,0.00,0.000000,0,1,0,symlink
65,0.00,0.000000,0,2,0,sigaltstack
66,0.00,0.000000,0,2,2,statfs
