,%time,seconds,usecs/call,calls,errors,syscall
0,18.36,0.000143,14,10,0,close
1,15.92,0.000124,15,8,0,openat
2,14.63,0.000114,16,7,0,read
3,14.63,0.000114,114,1,0,mkdir
4,12.84,0.000100,12,8,0,fstat
5,10.01,0.000078,26,3,0,brk
6,7.70,0.000060,2,27,0,mmap
7,5.91,0.000046,23,2,2,statfs
8,0.00,0.000000,0,9,0,mprotect
9,0.00,0.000000,0,1,0,munmap
10,0.00,0.000000,0,2,0,rt_sigaction
11,0.00,0.000000,0,1,0,rt_sigprocmask
12,0.00,0.000000,0,8,0,pread64
13,0.00,0.000000,0,2,2,access
14,0.00,0.000000,0,1,0,execve
15,0.00,0.000000,0,2,1,arch_prctl
16,0.00,0.000000,0,1,0,set_tid_address
17,0.00,0.000000,0,1,0,set_robust_list
18,0.00,0.000000,0,1,0,prlimit64
