,%time,seconds,usecs/call,calls,errors,syscall
0,61.90,25.709109,25,1000196,0,epoll_ctl
1,19.58,8.130294,40,200585,0,write
2,17.56,7.295206,36,200015,0,read
3,0.91,0.379860,47,8017,0,epoll_wait
4,0.01,0.005745,57,100,100,connect
5,0.01,0.004210,36,116,0,close
6,0.01,0.004066,20,200,0,fcntl
7,0.01,0.002660,26,100,0,socket
8,0.01,0.002141,21,100,0,setsockopt
9,0.00,0.000008,0,15,0,fstat
10,0.00,0.000000,0,2,0,open
11,0.00,0.000000,0,65,0,mmap
12,0.00,0.000000,0,22,0,mprotect
13,0.00,0.000000,0,5,0,munmap
14,0.00,0.000000,0,2,0,brk
15,0.00,0.000000,0,4,0,rt_sigaction
16,0.00,0.000000,0,1,0,rt_sigprocmask
17,0.00,0.000000,0,8,0,pread64
18,0.00,0.000000,0,1,1,access
19,0.00,0.000000,0,1,0,madvise
20,0.00,0.000000,0,1,0,execve
21,0.00,0.000000,0,1,1,readlink
22,0.00,0.000000,0,2,1,arch_prctl
23,0.00,0.000000,0,1,0,sched_getaffinity
24,0.00,0.000000,0,1,0,epoll_create
25,0.00,0.000000,0,1,0,set_tid_address
26,0.00,0.000000,0,14,0,openat
27,0.00,0.000000,0,1,0,set_robust_list
28,0.00,0.000000,0,1,0,prlimit64
