% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 37.37    0.009492          60       157           fstat
 11.48    0.002915           5       510           mmap
 10.77    0.002735           8       327           poll
  7.14    0.001814           7       246        71 openat
  5.11    0.001297           5       242           read
  4.70    0.001195           7       154           writev
  3.79    0.000963           6       159           mprotect
  3.77    0.000957           5       191           close
  3.59    0.000911           5       167        12 recvmsg
  1.74    0.000441          73         6           clone
  1.70    0.000433          33        13           readahead
  1.30    0.000329           0       364         6 futex
  1.06    0.000268           6        40           rt_sigaction
  0.97    0.000247          13        18           gettid
  0.69    0.000174           1       116        98 access
  0.57    0.000146           2        73        45 stat
  0.51    0.000130           3        42           write
  0.36    0.000092          13         7         6 mkdir
  0.36    0.000092          46         2           unlink
  0.32    0.000082          13         6           lseek
  0.31    0.000080          20         4         2 lstat
  0.29    0.000073          18         4           readlink
  0.28    0.000072           7        10         5 connect
  0.24    0.000060          60         1           rmdir
  0.22    0.000057           1        32           munmap
  0.19    0.000048          24         2           sigaltstack
  0.19    0.000048          16         3           prlimit64
  0.14    0.000035           3        10           socket
  0.13    0.000034          17         2           pipe
  0.13    0.000033          33         1           shutdown
  0.11    0.000029          29         1           getcwd
  0.09    0.000024           3         7           geteuid
  0.07    0.000019           1        17         6 recvfrom
  0.06    0.000015           7         2           getresuid
  0.05    0.000013           0        18           fcntl
  0.04    0.000010           1         9           uname
  0.04    0.000010           5         2           getdents64
  0.02    0.000006           3         2           getresgid
  0.02    0.000005           0         9           eventfd2
  0.01    0.000003           1         2           getsockname
  0.01    0.000003           1         2           getpeername
  0.01    0.000003           3         1           symlink
  0.01    0.000002           0         9           getpid
  0.01    0.000002           2         1           getsockopt
  0.01    0.000002           1         2           getuid
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         3           rt_sigprocmask
  0.00    0.000000           0         1           rt_sigreturn
  0.00    0.000000           0        14           pread64
  0.00    0.000000           0        83           madvise
  0.00    0.000000           0         8           sendto
  0.00    0.000000           0         2           sendmsg
  0.00    0.000000           0         2           execve
  0.00    0.000000           0         2           wait4
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         5           getegid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         1         1 prctl
  0.00    0.000000           0         4         2 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           faccessat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           sched_setattr
  0.00    0.000000           0         1           sched_getattr
  0.00    0.000000           0         1         1 seccomp
  0.00    0.000000           0         3           getrandom
------ ----------- ----------- --------- --------- ----------------
100.00    0.025399                  3135       257 total
