% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 25.50    0.012446          24       510           mmap
 13.50    0.006590          17       371           futex
  9.91    0.004838          19       246        71 openat
  8.10    0.003955          24       159           mprotect
  7.23    0.003528          14       243           read
  6.72    0.003281          17       191           close
  5.32    0.002598          16       157           fstat
  4.07    0.001987           6       323           poll
  3.19    0.001559          13       116        98 access
  2.60    0.001269          17        73        45 stat
  1.71    0.000837          19        43           write
  1.53    0.000749          23        32           munmap
  1.30    0.000633           4       154           writev
  1.29    0.000629           3       162         9 recvmsg
  1.09    0.000533         266         2           wait4
  0.60    0.000291          48         6           clone
  0.57    0.000280          20        14           pread64
  0.50    0.000244           6        40           rt_sigaction
  0.49    0.000239          18        13           readahead
  0.47    0.000229          17        13         3 recvfrom
  0.40    0.000194          10        18           fcntl
  0.36    0.000174          19         9           eventfd2
  0.31    0.000153          19         8           sendto
  0.31    0.000149          74         2           execve
  0.25    0.000123          13         9           getpid
  0.25    0.000123          12        10         5 connect
  0.22    0.000108          15         7           geteuid
  0.20    0.000100          10        10           socket
  0.20    0.000096           5        18           gettid
  0.17    0.000085          17         5           getegid
  0.15    0.000073          36         2           getdents64
  0.14    0.000069          23         3           getrandom
  0.13    0.000065          16         4         2 arch_prctl
  0.12    0.000059          29         2           sendmsg
  0.11    0.000055           6         9           uname
  0.11    0.000054          13         4           brk
  0.11    0.000054          18         3           rt_sigprocmask
  0.06    0.000030          15         2           pipe
  0.06    0.000028          28         1           rt_sigreturn
  0.05    0.000026          26         1           faccessat
  0.05    0.000025          25         1         1 prctl
  0.05    0.000024          12         2           getuid
  0.05    0.000023          23         1           set_tid_address
  0.05    0.000022          11         2           getsockname
  0.05    0.000022          11         2           getpeername
  0.05    0.000022          22         1           getppid
  0.04    0.000021          21         1           getgid
  0.04    0.000021           7         3           prlimit64
  0.04    0.000021          21         1         1 seccomp
  0.04    0.000020          20         1           set_robust_list
  0.04    0.000019           4         4           readlink
  0.03    0.000017          17         1           sched_setattr
  0.03    0.000016          16         1           sched_getattr
  0.00    0.000000           0         4         2 lstat
  0.00    0.000000           0         6           lseek
  0.00    0.000000           0        82           madvise
  0.00    0.000000           0         1           shutdown
  0.00    0.000000           0         1           getsockopt
  0.00    0.000000           0         1           getcwd
  0.00    0.000000           0         7         6 mkdir
  0.00    0.000000           0         1           rmdir
  0.00    0.000000           0         2           unlink
  0.00    0.000000           0         1           symlink
  0.00    0.000000           0         2           getresuid
  0.00    0.000000           0         2           getresgid
  0.00    0.000000           0         2           sigaltstack
  0.00    0.000000           0         2         2 statfs
------ ----------- ----------- --------- --------- ----------------
100.00    0.048806                  3130       245 total
