% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 19.35    0.005827          11       510           mmap
 14.33    0.004316          11       370         4 futex
 10.45    0.003148           9       321           poll
  8.99    0.002708          11       246        71 openat
  7.14    0.002151           8       243           read
  7.12    0.002143          13       159           mprotect
  5.50    0.001656           8       191           close
  4.28    0.001290           8       154           writev
  4.03    0.001213           7       157           fstat
  3.75    0.001129           6       162         9 recvmsg
  2.76    0.000830          19        43           write
  2.35    0.000709           9        73        45 stat
  1.57    0.000472          14        32           munmap
  1.24    0.000374          62         6           clone
  0.63    0.000191          21         9           eventfd2
  0.62    0.000187           1       116        98 access
  0.60    0.000182          10        18           gettid
  0.60    0.000180          22         8           sendto
  0.58    0.000174          15        11         1 recvfrom
  0.40    0.000119           9        13           readahead
  0.37    0.000111          55         2           unlink
  0.30    0.000089           9         9           getpid
  0.28    0.000084           4        18           fcntl
  0.28    0.000084          12         7           geteuid
  0.26    0.000078          19         4         2 lstat
  0.26    0.000077           7        10         5 connect
  0.24    0.000071          71         1           rmdir
  0.22    0.000065           6        10           socket
  0.21    0.000063          12         5           getegid
  0.17    0.000051           1        40           rt_sigaction
  0.15    0.000044          14         3           prlimit64
  0.14    0.000042          21         2           sendmsg
  0.13    0.000038           9         4           readlink
  0.12    0.000036          36         1           shutdown
  0.09    0.000028           9         3           rt_sigprocmask
  0.09    0.000028           3         9           uname
  0.08    0.000024           8         3           getrandom
  0.06    0.000019          19         1           getcwd
  0.06    0.000017           8         2           getdents64
  0.05    0.000014          14         1           sched_setattr
  0.04    0.000013           6         2           getsockname
  0.04    0.000013          13         1           sched_getattr
  0.04    0.000011           1         7         6 mkdir
  0.02    0.000007           3         2           pipe
  0.01    0.000003           0         6           lseek
  0.01    0.000003           1         2           sigaltstack
  0.00    0.000001           0         2           getpeername
  0.00    0.000001           0         2           getresuid
  0.00    0.000001           0         2           getresgid
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         1           rt_sigreturn
  0.00    0.000000           0        14           pread64
  0.00    0.000000           0        82           madvise
  0.00    0.000000           0         1           getsockopt
  0.00    0.000000           0         2           execve
  0.00    0.000000           0         2           wait4
  0.00    0.000000           0         1           symlink
  0.00    0.000000           0         2           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         1         1 prctl
  0.00    0.000000           0         4         2 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           faccessat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1         1 seccomp
------ ----------- ----------- --------- --------- ----------------
100.00    0.030115                  3125       247 total
