% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 34.12    0.016598           7      2359           select
 30.50    0.014836           4      3685      1289 recvfrom
 24.26    0.011801          12       926           write
  7.72    0.003757           1      1947           fcntl
  0.82    0.000400           4        97           mmap
  0.42    0.000202           4        42           read
  0.36    0.000176           4        38         2 openat
  0.30    0.000146         146         1           execve
  0.29    0.000139           9        14         7 stat
  0.25    0.000120           2        55           ioctl
  0.20    0.000099           3        30           mprotect
  0.12    0.000058           1        48           getpgrp
  0.12    0.000057           1        43           close
  0.12    0.000056          14         4           sendto
  0.09    0.000046           5         8           sendmsg
  0.08    0.000039           1        39           fstat
  0.07    0.000034           4         8         2 connect
  0.06    0.000029           1        15           poll
  0.04    0.000021           0        29           brk
  0.02    0.000011          11         1           utime
  0.02    0.000008           1         8           socket
  0.01    0.000006           6         1         1 access
  0.00    0.000002           2         1           arch_prctl
  0.00    0.000001           0         4           setsockopt
  0.00    0.000001           0         2           getrandom
  0.00    0.000000           0         4           lseek
  0.00    0.000000           0         5           munmap
  0.00    0.000000           0         7           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         1           getgroups
  0.00    0.000000           0         1           statfs
  0.00    0.000000           0         2           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         2           clock_nanosleep
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         2           sendmmsg
------ ----------- ----------- --------- --------- ----------------
100.00    0.048643           5      9434      1301 total
