% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 33.87    0.022559          12      1865           write
 24.34    0.016215          18       895           openat
 17.32    0.011538       11538         1           wait4
 10.34    0.006889           5      1233           read
  5.88    0.003914           4       956           utimensat
  4.80    0.003195           3       903           close
  3.45    0.002301          30        75           mkdirat
  0.00    0.000000           0        15           fstat
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0        38           mmap
  0.00    0.000000           0        10           mprotect
  0.00    0.000000           0         2           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         3           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         2         2 access
  0.00    0.000000           0         1           pipe
  0.00    0.000000           0         4           socket
  0.00    0.000000           0         4         4 connect
  0.00    0.000000           0         1           clone
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         3           fcntl
  0.00    0.000000           0         2           umask
  0.00    0.000000           0         1           geteuid
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.066611          11      6027         8 total
